"text","group","id","time","role","partner_id","turn","seller"
"Hello, I'm looking to purchase your beautiful sugar bowl. I've wanted this piece since I was a child; I'm willing to offer 250 in cash.",2,"D2555","0","buyer","UZR8T",1,0
"I'm glad you're interested in my bowl. This is a very high-quality, handmade bowl made in New England in the 17th century. Therefore, I'll gladly sell you this bowl for $450.",2,"UZR8T","0","seller","D2555",2,1
"Would you like to buy my bowl for $450? ",2,"UZR8T"," 4:19:34 PM "," Seller ","D2555",3,1
"I understand wholeheartedly that you want to get the most money you can get out of it, but the sentimental value of it completes a set I had had as a child. I can't afford anything close to what you are asking at this time; the best I can do is $280. Please consider this as the holidays are around and it would be soo apreciated. Hope to hear from you soon. ||Best Wishes. ",2,"D2555"," 4:21:33 PM "," Buyer Nice ","UZR8T",4,0
"Since this is a very popular item and I have many other interested buyers, I'm afraid your offer of $280 is not the highest offer. However, I can offer the bowl to you for $410, which is a very good deal for this exquisite item. ",2,"UZR8T"," 4:24:09 PM "," Seller ","D2555",5,1
"Yes, I understand, it's just the pricing is too much for me to take on at this moment. I have 2 children, and with the holidays approaching their needs have to be met first; my final offer is 300. Please consider my last and final offer. Thank you. ",2,"D2555"," 4:26:33 PM "," Buyer Nice ","UZR8T",6,0
"Since I understand that finances are very tight around this time of year, I can offer the bowl to you for $400. Going any lower than that could hurt my reputation as an antiques dealer. ",2,"UZR8T"," 4:27:46 PM "," Seller ","D2555",7,1
"Could we possibly meet in the middle at 350? Again, this is such a stretch for me.",2,"D2555"," 4:29:16 PM "," Buyer Nice ","UZR8T",8,0
"You seem like a very kind person and I can tell that this bowl means a lot to you and your family. Therefore, I will offer it to you for $375. This is certainly not an ideal selling price for me, but I do occasionally make exceptions for loyal customers. ",2,"UZR8T"," 4:30:55 PM "," Seller ","D2555",9,1
"375, done. ||Thank you soo much. ",2,"D2555"," 4:31:08 PM "," Buyer Nice ","UZR8T",10,0
"Wonderful! Enjoy your beautiful bowl. ",2,"UZR8T"," 4:31:25 PM "," Seller ","D2555",11,1
"It's greatly appreciated. ||Thank you again.",2,"D2555"," 4:31:35 PM "," Buyer Nice ","UZR8T",12,0
"Thank you! ",2,"UZR8T"," 4:32:09 PM "," Seller ","D2555",13,1
"Hi, I would like to buy the beautiful sugar bowl you have on sale, and I would be more than happy to offer $250 for it.  Thank you. ",4,"3JSMN","0","buyer","DFYVU",1,0
"Not a chance.",4,"DFYVU","0","seller","3JSMN",2,1
"Hi, what price are you looking to sell the sugar bowl at? ",4,"3JSMN"," 4:16:27 PM "," Buyer Nice ","DFYVU",3,0
"$375 is more than fair, with the price of silver alone. Makes it a bargain. ",4,"DFYVU"," 4:18:16 PM "," Seller ","3JSMN",4,1
"I would be willing to offer $350. ",4,"3JSMN"," 4:18:39 PM "," Buyer Nice ","DFYVU",5,0
"I'm firm, so you have the opportunity to confirm the recent price levels of silver.",4,"DFYVU"," 4:19:38 PM "," Seller ","3JSMN",6,1
"Okay, I would be willing to pay $375 for the sugar bowl. ||*willing ",4,"3JSMN"," 4:20:10 PM "," Buyer Nice ","DFYVU",7,0
"Thank you, enjoy. ",4,"DFYVU"," 4:20:32 PM "," Seller ","3JSMN",8,1
"Thank you. ",4,"3JSMN"," 4:20:42 PM "," Buyer Nice ","DFYVU",9,0
"Hello, I am interested in buying the sugar bowl for $250.00, Thanks",7,"73FN4","0","buyer","JQEPJ",1,0
"Thanks for the bid, but such bowls are finely crafted, centuries-old, and hard to find.  The time and effort to procure them alone makes that an unacceptable underbid.",7,"JQEPJ","0","seller","73FN4",2,1
"Would you reconsider to a more mutually  acceptable purchase price? ",7,"JQEPJ"," 4:24:36 PM "," Seller ","73FN4",3,1
"I appreciate your communication, but with difficulty I will be able to pay you $350.00.",7,"73FN4"," 4:27:00 PM "," Buyer Nice ","JQEPJ",4,0
